Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,2856657,,,0
H2,2002,2002,2002,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,11713225,,,0
H2,2002,2002,2002,2,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,13626975,,,0
H2,2002,2002,2002,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,203960045,,,0
H2,2002,2002,2002,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,179241620,,,0
H2,2002,2002,2002,2,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,19238457,,,0
H2,2002,2002,2002,2,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,211767,,,0
H2,2002,2002,2002,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,525852971,,,0
H2,2002,2002,2002,2,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,5811335,,,0
H2,2002,2002,2002,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,0,,,,0,,11990075,,,0
H2,2002,2002,2002,2,0,1,Import,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,1670468,,,0
H2,2002,2002,2002,2,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,6129439,,,0
H2,2002,2002,2002,2,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,29801000,,,0
H2,2002,2002,2002,2,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,518225469,,,0
H2,2002,2002,2002,2,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,19841732,,,0
H2,2002,2002,2002,2,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,21257116,,,0
H2,2002,2002,2002,2,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,19447212,,,0
H2,2002,2002,2002,2,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,63219853,,,0
H2,2002,2002,2002,2,0,1,Import,175,Mayotte,MYT,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,1607297,,,0
H2,2002,2002,2002,2,0,1,Import,184,Cook Isds,COK,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,1338474,,,0
H2,2002,2002,2002,2,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,26235261,,,0
H2,2002,2002,2002,2,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,15609413,,,0
H2,2002,2002,2002,2,0,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,51075354,,,0
H2,2002,2002,2002,2,0,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,321151774,,,0
H2,2002,2002,2002,2,0,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,1493164,,,0
