Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,2,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1729266,,,0
H1,2001,2001,2001,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,7651574,,,0
H1,2001,2001,2001,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,578235,,,0
H1,2001,2001,2001,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,717817,,,0
H1,2001,2001,2001,2,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,9444041,,,0
H1,2001,2001,2001,2,0,1,Import,32,Argentina,ARG,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2529634,,,0
H1,2001,2001,2001,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,37477335,,,0
H1,2001,2001,2001,2,0,1,Import,36,Australia,AUS,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,7427100,,,0
H1,2001,2001,2001,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,62235755,,,0
H1,2001,2001,2001,2,0,1,Import,40,Austria,AUT,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,117398,,,0
H1,2001,2001,2001,2,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,941376,,,0
H1,2001,2001,2001,2,0,1,Import,44,Bahamas,BHS,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,920898,,,0
H1,2001,2001,2001,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1415871,,,0
H1,2001,2001,2001,2,0,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,252044,,,0
H1,2001,2001,2001,2,0,1,Import,52,Barbados,BRB,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,147596,,,0
H1,2001,2001,2001,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,272798822,,,0
H1,2001,2001,2001,2,0,1,Import,56,Belgium,BEL,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1508113,,,0
H1,2001,2001,2001,2,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1647743,,,0
H1,2001,2001,2001,2,0,1,Import,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,59154,,,0
H1,2001,2001,2001,2,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3459959,,,0
H1,2001,2001,2001,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,0,,,,0,,22895946,,,0
H1,2001,2001,2001,2,0,1,Import,76,Brazil,BRA,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,0,,,,0,,10061184,,,0
H1,2001,2001,2001,2,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,344682,,,0
H1,2001,2001,2001,2,0,1,Import,84,Belize,BLZ,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,154450,,,0
H1,2001,2001,2001,2,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3783058,,,0
