Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,2,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,2226281,,,0
H1,2001,2001,2001,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,11009436,,,0
H1,2001,2001,2001,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,9846028,,,0
H1,2001,2001,2001,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,3639694,,,0
H1,2001,2001,2001,2,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,77329405,,,0
H1,2001,2001,2001,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,193582261,,,0
H1,2001,2001,2001,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,151724879,,,0
H1,2001,2001,2001,2,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,22503768,,,0
H1,2001,2001,2001,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,3508517,,,0
H1,2001,2001,2001,2,0,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,5988886,,,0
H1,2001,2001,2001,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,470876584,,,0
H1,2001,2001,2001,2,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,6306612,,,0
H1,2001,2001,2001,2,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,4442039,,,0
H1,2001,2001,2001,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,0,,,,0,,19025398,,,0
