Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,2856657,,,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,842,USA,USA,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,8839,,,0
H2,2002,2002,2002,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,11713225,,,0
H2,2002,2002,2002,2,0,1,Import,20,Andorra,AND,842,USA,USA,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,113,,,0
H2,2002,2002,2002,2,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,13626975,,,0
H2,2002,2002,2002,2,0,1,Import,32,Argentina,ARG,842,USA,USA,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,109785,,,0
H2,2002,2002,2002,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,203960045,,,0
H2,2002,2002,2002,2,0,1,Import,36,Australia,AUS,842,USA,USA,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,17825231,,,0
H2,2002,2002,2002,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,179241620,,,0
H2,2002,2002,2002,2,0,1,Import,40,Austria,AUT,842,USA,USA,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,47800,,,0
H2,2002,2002,2002,2,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,19238457,,,0
H2,2002,2002,2002,2,0,1,Import,48,Bahrain,BHR,842,USA,USA,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,6202295,,,0
H2,2002,2002,2002,2,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,211767,,,0
H2,2002,2002,2002,2,0,1,Import,50,Bangladesh,BGD,842,USA,USA,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,1644,,,0
H2,2002,2002,2002,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,525852971,,,0
H2,2002,2002,2002,2,0,1,Import,56,Belgium,BEL,842,USA,USA,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,2965813,,,0
